ProductName,CategoryID,Price,Stock
Kids' Craft Supplies Set,3,1578,17
Spinach and Feta Stuffed Chicken Breast,4,4336,88
Fitness Tracker Band,4,2497,186
Plaid Flannel Shirt,2,1418,19
Trendy Bomber Jacket,4,205,142
Zucchini,4,1771,29
Chocolate Fudge Brownie Mix,2,4600,62
Banana Nut Muffins,3,2504,145
Field Journal,4,2744,136
Chickpea Pasta,4,2642,112
Tea Infuser Bottle,2,4772,19
Chocolate Mint Protein Shake,2,4632,143
Bike Repair Tool Kit,1,1848,143
Self-Inflating Camping Mattress,3,2405,154
Reversible Swimming Pool Lounger,1,3426,152
Peanut Butter Pretzel Nuggets,3,4719,181
Organic Cucumber,4,456,52
Lentil Soup (canned),1,150,178
Fitness Tracker Watch,2,4725,67
Microfiber Cleaning Cloths,4,943,113
Almond Flour Pancake Mix,4,646,160
Wine Glasses,4,1989,130
Tomatillo Salsa,2,2275,73
Organic Apples,4,3518,67
Magnetic Phone Case,3,2951,175
Pet Camera with Treat Dispenser,1,4707,190
Electric Kettle,2,3076,31
Whipped Cream Cheese,4,1825,181
Air Fryer Oven,1,3074,63
Marinated Artichokes,1,574,194
Buffalo Stilton Cheese,2,4969,30
Scented Soy Candles,3,4475,35
Beef Stew Meat,2,1435,53
Portable Pet Water Bottle,4,3563,139
Fitness Jump Rope with LCD Counter,2,4023,116
Portable Projector,2,1238,170
Digital Camera,2,4900,191
Chocolate Almond Milk,1,275,104
Measuring Cups Set,3,1589,184
Balsamic Glazed Brussels Sprouts,3,3868,156
Pet Grooming Kit,4,994,96
Smart Light Bulbs,2,4226,29
Pressure Washer Accessories Kit,4,3861,116
Gingerbread House Kit,3,817,135
Knitted Infinity Scarf,2,4276,106
Tennis Racket,2,3773,137
Organic Quinoa Salad,4,1930,38
Honey Garlic Sauce,3,2414,119
Electric Griddle with Removable Plates,4,1118,163
Canvas Tote Bag,4,3869,140
Mini Waffle Maker,1,405,47
White Rice,4,3833,23
Taro Chips,3,1553,54
Adjustable Bar Stools,4,786,84
Himalayan Pink Salt,1,3558,128
Travel Makeup Organizer,3,4706,161
Oven Mitts,3,3918,193
Personalized Keychain,3,4758,99
LED Flashing Pet Collar,2,2227,58
Collapsible Water Bottle,1,1640,43
Lemonade Mix,3,586,135
Peanut Butter Chocolate Chip Bars,3,1653,165
Samoas Cookie Mix,1,3036,174
Vegetable Pizza Rolls,3,4655,106
Portable Pet Water Bottle,3,2445,13
Instant Mashed Potatoes,2,4403,165
Apple Sauce,2,295,91
Collapsible Storage Crates,4,2386,173
Legging Pants,2,3516,30
Buffalo Chicken Wraps,4,3218,84
Inflatable Pool Float,4,4334,164
Pumpkin Puree,1,1767,140
Induction Cooktop,1,3111,95
Pet Nail Clipper,3,1661,171
Cotton Quilted Throw Blanket,3,4633,66
Whole Grain Cereal,4,4353,145
Board Game Storage,2,1153,169
Smartphone Tripod,2,819,101
Peanut Butter Banana Smoothie Mix,2,3300,87
Vegetable Samosas,4,4072,191
Wireless Security Camera,1,4037,136
Rechargeable Laptop Battery Pack,3,454,74
Ramen Noodles,2,3962,113
Beef Stroganoff Mix,1,3815,136
Pumpkin Waffles,1,1868,102
Honey Mustard Chicken Breasts,2,2818,157
Window Bird Feeder,4,4901,90
Portable Hammock Swing,1,3521,91
Oven Mitts,3,4622,74
Memory Card,4,4561,18
Mobile Workbench,1,2731,135
Chic Ankle Strap Heels,3,705,176
Sustainable Wooden Toys,3,1558,138
Ginger Turmeric Shots,4,3971,87
Italian Pasta,2,1411,59
Cinnamon Sugar Popcorn,1,4988,79
Camera Lens Cleaning Kit,3,1770,159
Quality Chef Apron,4,4321,200
Gluten-Free Brownies,3,4455,102
Silicone Baking Cups,1,4297,126
Mango Sticky Rice Dessert,4,4585,21
Sketchbook,3,4861,100
Casual Cropped Sweater,3,4317,48
Butternut Squash Ravioli,2,3029,55
Pumpkin Spice Coffee,4,3253,190
Organic Quinoa Chips,3,2646,61
Nut Butter Cups,1,1267,170
Organic Italian Seasoning,3,1721,27
Key Finder,4,2470,173
Smart Plug,3,1306,185
Pet Bed with Removable Cover,1,2433,176
Balsamic Glazed Brussels Sprouts,4,1396,61
High-Quality Yoga Mat,4,4737,59
Yoga Blocks,1,3701,12
Beef Enchilada Casserole,3,1868,145
Tailored Blazer,2,546,58
Chickpea Snack Mix,2,559,125
Fried Rice,4,3513,125
Miso Soup Mix,1,3218,115
Vegetarian Stir Fry Sauce,4,2254,181
Blackberry Jam,1,1519,175
Silicone Cooking Utensils Set,3,2689,47
Pet Travel Bed,1,806,31
Portable Speakers,3,3254,116
Handcrafted Wooden Jewelry Box,2,1124,31
Chipotle Black Bean Burger,1,465,174
Instant Pot,4,920,119
Dog Training Whistle,4,628,112
Waffle Maker,3,1957,96
Stuffed Grape Leaves,2,992,21
Peach & Mango Salsa,2,1070,178
Casual Long Cardigan,3,1309,199
Kids' STEM Robotics Kit,2,2949,64
Roasted Vegetable Medley,2,4770,168
Toy Building Set,2,3300,99
Ginger Turmeric Shots,1,647,97
Portable Pet Stroller,1,1296,176
Strawberry Rhubarb Jam,1,2924,79
Teriyaki Chicken Wings,2,1134,152
Spicy Italian Sausage,3,3340,109
Cauliflower Crust Pizza,4,2391,131
Ceramic Planter Set,2,3859,27
Microfiber Cleaning Cloths,4,3983,182
Plant-Based Protein Bars,2,1228,138
Popcorn Chicken,1,881,95
Window Bird Feeder,3,1327,141
Cotton Basic Tank,4,427,68
Chocolate Coconut Protein Balls,3,2952,167
Smartphone Holder for Car,1,1068,67
Brownie Bites,3,1167,119
Organic Vanilla Bean Ice Cream,4,4339,66
Pita Bread,4,2866,116
Robot Vacuum Cleaner,3,3918,116
Cotton Tote Bag Set,3,3450,112
Electric Razor,4,1912,120
Honey Mustard Pretzel Bites,2,2982,139
Teriyaki Tofu Stir-Fry,1,3904,167
Italian Sausage Links,1,208,123
Instant Mashed Potatoes,2,4908,67
Cereal Dispenser with Portion Control,4,4492,171
Vegan Chocolate Cake Mix,4,4880,121
Baby Monitor,4,2955,110
Baked Falafel,1,2798,29
Kids' Gardening Tools Set,2,378,21
Pineapple Coconut Bars,4,2796,141
Compact Refrigerator,4,2906,28
Warm Knit Beanie,4,808,99
Classic Black Trousers,3,4724,136
Chocolate Mint Thins,3,2330,197
Chocolate Chip Muffins,3,3219,111
Cauliflower Rice Stir-Fry,3,4467,38
Dish Soap Dispenser,4,3697,53
Coconut Bowls Set,2,3017,138
Bluetooth Headphones,1,1904,185
Summer Tank Dress,4,4141,64
Sushi Roll Kit,2,2293,192
Cinnamon Roll Dough,4,1451,134
Non-Stick Crepe Pan,1,2667,33
Vegetable Broth,3,1676,63
Camping Chair with Cooler,1,4633,119
Kombucha Drink,3,4578,192
Tuna Fish (canned),3,4890,190
Travel Orthopedic Pillow,2,4768,188
Lightweight Travel Backpack,1,4915,129
Chickpeas,4,1820,29
Mesh Laundry Bags Set,4,1849,148
Natural Soy Candles,3,190,146
Beef Stroganoff Mix,3,1662,146
Kale & Quinoa Salad Mix,4,1258,54
Organic Baby Spinach,1,3602,182
Oven-Baked Potato Chips,4,1317,61
Waterproof Rain Boots,4,2585,136
Honey BBQ Riblets,3,3691,112
Baby Monitor,1,329,23
Basil-infused Olive Oil,1,2466,135
Indoor Grill,4,2446,182
Savory Oatmeal,2,2199,151
Marinara Sauce,1,3199,127
Sun-Dried Tomatoes,3,2159,77
Jigsaw Puzzle,4,3628,122
Oven-Baked Cheese Crisps,1,716,19
Karaoke Microphone,1,4718,30
Reusable Produce Bags Set,1,4718,195
Balsamic Vinaigrette,4,2753,19
Greek Yogurt,3,2231,146
Chocolate Hazelnut Granola,3,4774,148
Winter Knit Beanie,3,2818,31
Pistachios,1,4078,152
Car Windshield Sun Shade,3,4194,192
Spicy Italian Sausage,3,452,93
Professional Chef Knife,2,4515,84
Essential Oil Diffuser,2,1139,23
Folding Table,2,480,93
Stainless Steel Mixing Bowls,4,4160,129
Travel Pillow,1,4282,48
Vegetable Samosas,1,941,185
Pumpkin Spice Cookies,4,4515,165
Mango Chunks,4,431,198
Reusable Produce Bags Set,2,2296,161
Organic Coconut Yogurt,3,4669,145
Smoked Paprika,2,2528,105
Tailgating Set,3,767,78
Buffalo Chicken Wraps,3,4485,13
Coconut Chips,4,2997,10
Multi-Function Meat Tenderizer,4,228,161
Peach Preserves,1,2281,170
Customizable Name Puzzle,4,3101,149
Mini Fondue Set,4,4940,11
LED Strip Light Kit,1,3283,141
Pumpkin Pancake Mix,4,2401,48
Stainless Steel Travel Mug,3,4312,32
Radish Chips,2,2230,134
Electric Meat Grinder,1,3154,62
Drone,4,3793,29
Classic Minestrone Soup,1,145,44
Oven Mitts with Pocket,2,2760,20
Hot Salsa,1,4348,166
Sports Water Bottle with Infuser,4,2429,182
Frozen Burritos,3,3374,56
Spinach Pizza Rolls,1,393,17
Kids' Science Experiment Kit,1,504,60
Memory Foam Mattress Pad,2,1609,65
Beef Tacos,3,3149,193
Cinnamon Sugar Mix,2,2005,49
Organic Green Lentils,1,2891,121
Dish Rack,4,3084,32
Sooji (Semolina),4,3647,44
Water Bottle with Built-in Fruit Infuser,3,3014,94
